loss,epoch
1.9365,0.045662100456621
1.2435,0.091324200913242
1.1523,0.136986301369863
1.0821,0.182648401826484
1.0575,0.228310502283105
0.9934,0.273972602739726
0.9816,0.319634703196347
1.0224,0.365296803652968
0.9772,0.410958904109589
0.9784,0.45662100456621
0.9552,0.502283105022831
0.9833,0.547945205479452
0.9604,0.593607305936073
0.9575,0.639269406392694
0.8762,0.684931506849315
0.9512,0.730593607305936
0.9127,0.776255707762557
0.9121,0.821917808219178
0.8988,0.867579908675799
0.88,0.91324200913242
0.8618,0.958904109589041
0.8521,1.004566210045662
0.696,1.0502283105022832
0.6865,1.095890410958904
0.6996,1.1415525114155252
0.6876,1.187214611872146
0.7277,1.2328767123287672
0.6717,1.278538812785388
0.6934,1.3242009132420092
0.6777,1.36986301369863
0.6646,1.4155251141552512
0.7085,1.461187214611872
0.6761,1.5068493150684932
0.6948,1.5525114155251143
0.7275,1.5981735159817352
0.6744,1.643835616438356
0.6833,1.6894977168949772
0.6678,1.7351598173515983
0.6787,1.7808219178082192
0.6791,1.82648401826484
0.7341,1.8721461187214612
0.6752,1.9178082191780823
0.7042,1.9634703196347032
0.6583,2.009132420091324
0.502,2.0547945205479454
0.5152,2.1004566210045663
0.5054,2.146118721461187
0.4923,2.191780821917808
0.5066,2.237442922374429
0.5125,2.2831050228310503
0.5285,2.328767123287671
0.522,2.374429223744292
0.531,2.4200913242009134
0.5315,2.4657534246575343
0.5128,2.5114155251141552
0.5238,2.557077625570776
0.5042,2.602739726027397
0.513,2.6484018264840183
0.548,2.6940639269406392
0.5063,2.73972602739726
0.5324,2.7853881278538815
0.517,2.8310502283105023
0.5246,2.8767123287671232
0.4829,2.922374429223744
0.514,2.968036529680365
0.4639,3.0136986301369864
0.3824,3.0593607305936072
0.3976,3.105022831050228
0.3907,3.1506849315068495
0.3895,3.1963470319634704
0.3711,3.2420091324200913
0.3741,3.287671232876712
0.3739,3.3333333333333335
0.3796,3.3789954337899544
0.4116,3.4246575342465753
0.3786,3.470319634703196
0.3814,3.5159817351598175
0.3941,3.5616438356164384
0.4143,3.6073059360730593
0.3815,3.65296803652968
0.3875,3.6986301369863015
0.3592,3.7442922374429224
0.3686,3.7899543378995433
0.3978,3.8356164383561646
0.4005,3.8812785388127855
0.3878,3.9269406392694064
0.366,3.9726027397260273
0.3548,4.018264840182648
0.2972,4.063926940639269
0.2741,4.109589041095891
0.2896,4.155251141552512
0.2915,4.200913242009133
0.303,4.2465753424657535
0.2812,4.292237442922374
0.3036,4.337899543378995
0.2744,4.383561643835616
0.2912,4.429223744292237
0.2685,4.474885844748858
0.2725,4.52054794520548
0.3112,4.566210045662101
0.2664,4.6118721461187215
0.2796,4.657534246575342
0.3061,4.703196347031963
0.3056,4.748858447488584
0.2894,4.794520547945205
0.2958,4.840182648401827
0.3091,4.885844748858448
0.2921,4.931506849315069
0.3139,4.9771689497716896
0.580738905815229,5.0
